city,datetime,lead_days,blend_temperature,blend_rainfall,blend_wind_speed,temperature,rainfall,wind_speed
Agartala,2026-09-24 00:00:00,1,26.2720349,0.7003927,5.926714226714227,26.498896998496466,0.6163329514694811,4.885514757352309
Agartala,2026-09-24 01:00:00,1,25.7065825,0.5695093,5.851916851916853,26.155741968424636,0.7006059064644292,4.901826214298747
Agartala,2026-09-24 02:00:00,1,25.6390958,0.0,3.997550897550898,25.840038983480767,0.43535445230016706,4.572538751798302
Agartala,2026-09-24 03:00:00,1,25.5160562,0.0,4.983914883914884,25.750727209484346,0.27966465559201775,5.450210353454567
Agartala,2026-09-24 04:00:00,1,25.4259524,0.0,6.789646889646891,25.670152086205412,0.2899550221831017,7.2770067262174525
Agartala,2026-09-24 05:00:00,1,25.6429437,0.0,6.816438316438317,26.195935405951342,0.259250953152568,7.074667035049901
Agartala,2026-09-24 06:00:00,1,26.5938814,0.0,6.894819594819595,27.12584573262358,0.25954640300889076,7.299460735986791
Agartala,2026-09-24 07:00:00,1,28.0473396,0.0,7.237077337077338,28.66095573747595,0.1550709479981324,7.760373269143683
Agartala,2026-09-24 08:00:00,1,29.3752547,0.0,7.084537484537485,30.068087874726228,0.12587555916765228,7.234574569727653
Agartala,2026-09-24 09:00:00,1,30.394179,0.1907622,7.318971618971619,30.982818118803298,0.24634614860352558,7.1744117118539945
Agartala,2026-09-24 10:00:00,1,30.9001254,0.2755454,6.758694258694259,31.38744481981649,0.22318108381286192,6.903559702490131
Agartala,2026-09-24 11:00:00,1,30.9486166,0.1271748,7.464468664468665,31.422253005048052,0.26978169376124017,7.425459101544217
Agartala,2026-09-24 12:00:00,1,30.9371558,0.4743788,6.806830506830508,30.934288228073715,0.6614344950110262,7.229145459033439
Agartala,2026-09-24 13:00:00,1,31.3124032,0.4107914,7.252390752390753,30.92621681024296,0.5547060640959366,7.341379822150911
Agartala,2026-09-24 14:00:00,1,30.911551600000003,0.453183,6.7156883156883165,30.473552616622346,0.5965624786091801,6.013902215755328
Agartala,2026-09-24 15:00:00,1,30.1846569,0.2967412,6.041796341796342,29.87028118933075,0.2166580714149111,5.3670451875921845
Agartala,2026-09-24 16:00:00,1,29.7369088,0.0211958,6.507203507203508,29.46730987744082,0.15222712554063283,5.815331934925479
Agartala,2026-09-24 17:00:00,1,28.5192718,0.0,6.953597953597954,28.437171551120493,0.1907136571471365,7.300683311459327
Agartala,2026-09-24 18:00:00,1,27.5816873,0.6885899,6.613832213832215,27.684953202829607,0.3878695283244734,6.1568080633283016
Agartala,2026-09-24 19:00:00,1,26.9070484,1.5254063999999998,7.310701510701511,27.022713699029026,0.48780889106264014,6.804642252180974
Agartala,2026-09-24 20:00:00,1,26.5695177,1.1122755,7.142591342591343,26.738546381845218,0.47410138240326305,6.784484673006337
Agartala,2026-09-24 21:00:00,1,26.3365819,0.0463379,9.056131256131255,26.513988196011326,0.15681153190122474,8.53448983943785
Agartala,2026-09-24 22:00:00,1,25.9130797,0.3641309,9.511547911547911,26.143854287220865,0.20754819336084251,9.764594363916173
Agartala,2026-09-24 23:00:00,1,25.6381937,0.8408204,8.859043059043058,26.17037249263884,0.399654575755625,9.317748852781376
Agartala,2026-09-25 00:00:00,2,25.5067336,0.1142982,8.1067183,25.779846431912965,0.7415968068184499,8.713584550103844
Agartala,2026-09-25 01:00:00,2,25.4482496,0.1142982,6.7067668000000005,25.612836221951472,0.7199476004926081,7.738284925799047
Agartala,2026-09-25 02:00:00,2,25.2735885,0.3421028,5.932708399999999,25.287200702232006,0.7186526491430048,6.879143936916824
Agartala,2026-09-25 03:00:00,2,25.0659718,0.142691,6.571534799999999,25.087869532935088,0.5173990474506966,7.525015258694324
Agartala,2026-09-25 04:00:00,2,24.920252,0.0291198,7.508530099999999,25.000227404515158,0.4011885312176172,8.779030101978636
Agartala,2026-09-25 05:00:00,2,24.8942784,0.0291198,7.994600500000001,25.463601984707974,0.2773628477415071,9.157864309888932
Agartala,2026-09-25 06:00:00,2,25.9109297,0.0,8.1771168,26.447793031009645,0.3073162914011154,9.16990024219441
Agartala,2026-09-25 07:00:00,2,27.478733,0.0,9.4861048,28.083260150740212,0.1936631030733383,9.010709404052319
Agartala,2026-09-25 08:00:00,2,28.9401557,0.0,10.4739896,29.510977260495864,0.1476582167701775,10.466466931238546
Agartala,2026-09-25 09:00:00,2,30.1687833,0.0291198,11.1469119,30.43816258307616,0.19819707686399718,11.15400100380807
Agartala,2026-09-25 10:00:00,2,31.1218637,0.0575126,11.512114,31.253140722485384,0.26155248060089503,11.251736215301026
Agartala,2026-09-25 11:00:00,2,31.6716887,0.0575126,11.340315999999998,31.85658290557836,0.27790195227799946,10.541452533821005
Agartala,2026-09-25 12:00:00,2,31.792605700000003,0.2322314,11.5273387,31.705455900803017,0.4625185882247509,10.832599599899575
Agartala,2026-09-25 13:00:00,2,31.5543131,0.2322314,11.700087900000002,31.235122926021294,0.4683149870371886,10.96443794393655
Agartala,2026-09-25 14:00:00,2,31.1636687,0.2322314,11.8862911,30.722682774752503,0.4879731226065468,11.302221668666295
Agartala,2026-09-25 15:00:00,2,30.5212376,0.3195908,9.7442971,30.33042836037466,0.5876490593499029,8.418594127331296
Agartala,2026-09-25 16:00:00,2,29.3786127,0.575126,7.390801000000001,29.38241825722927,0.7251088425012201,6.433445846749903
Agartala,2026-09-25 17:00:00,2,27.9342156,1.2565532,6.8497701,28.028414641965654,0.7809815896632899,5.763739464128463
Agartala,2026-09-25 18:00:00,2,27.2203139,0.5969758000000001,7.1512607,27.40952413268479,0.4822806131594744,6.41650459221442
Agartala,2026-09-25 19:00:00,2,26.7981032,0.0291198,7.777831900000001,26.953056786851082,0.36053321021268636,8.338017424876634
Agartala,2026-09-25 20:00:00,2,26.5555116,0.0291198,7.9265725,26.75001505828158,0.3143304366052774,8.588309959721856
Agartala,2026-09-25 21:00:00,2,26.143823,0.0290549999999999,7.8417688,26.42178686388473,0.3254958939405986,7.868948539766262
Agartala,2026-09-25 22:00:00,2,25.7606015,0.29055,7.9401193,25.99154137317119,0.26818860695257346,7.860801517160903
Agartala,2026-09-25 23:00:00,2,25.466417,0.0,7.547882299999999,26.030283733906952,0.24213678181813075,7.103263160199458
Agartala,2026-09-26 00:00:00,3,25.23918143918144,0.0,6.776910199999998,25.461959362704597,0.46610519369303627,7.016406307227464
Agartala,2026-09-26 01:00:00,3,25.066803966803967,0.0,6.111078599999999,25.285834919429913,0.3851092864453166,8.061060138370436
Agartala,2026-09-26 02:00:00,3,24.92411132411133,0.0,6.410929799999999,25.079466843572806,0.3954928939717229,6.5928630650330575
Agartala,2026-09-26 03:00:00,3,24.768495268495265,0.0,6.321574799999999,24.91751829008034,0.3018562567337682,7.299323659567366
Agartala,2026-09-26 04:00:00,3,24.662679362679363,0.0,5.761797999999999,24.81732528377071,0.25549639505231064,7.752450509928532
Agartala,2026-09-26 05:00:00,3,24.70528760528761,0.0,5.961881999999999,25.228836114846583,0.2347798741550337,6.05220770564602
Agartala,2026-09-26 06:00:00,3,25.847117047117045,0.0,6.617107999999998,26.386510977878523,0.307419429126992,6.336151633969623
Agartala,2026-09-26 07:00:00,3,27.567632067632065,0.0,7.890941799999999,28.18556576613556,0.20259227236394536,7.08839761612285
Agartala,2026-09-26 08:00:00,3,29.162586862586863,0.0,8.738450599999998,29.820020352731632,0.1655634806528566,7.788527276359881
Agartala,2026-09-26 09:00:00,3,30.43908893908894,0.0,9.526989999999998,30.807590555897885,0.1813813133752271,8.609557356986647
Agartala,2026-09-26 10:00:00,3,31.45997495997496,0.0,9.126103,31.78610562500832,0.19928404351400433,7.910831718508246
Agartala,2026-09-26 11:00:00,3,32.14665184665185,0.0,8.55393,32.49938379416757,0.18774130403054248,6.734609382469488
Agartala,2026-09-26 12:00:00,3,32.35986525986526,0.2329024,8.931907399999998,32.252067828227425,0.4892280557940246,7.153135102308646
Agartala,2026-09-26 13:00:00,3,32.07009577009577,0.2329024,9.5172144,31.5384847081262,0.4754644490651255,7.666934300776216
Agartala,2026-09-26 14:00:00,3,31.653910953910955,0.2329024,9.416280999999998,31.14605181046822,0.4674879916667476,7.453215723544871
Agartala,2026-09-26 15:00:00,3,31.15766455766456,0.0,8.1713606,30.73333838784902,0.1725596460169081,6.558296101645848
Agartala,2026-09-26 16:00:00,3,30.169098869098868,0.0,6.7172416,29.964062835568324,0.13872146388490822,5.906908898447791
Agartala,2026-09-26 17:00:00,3,28.875403575403578,0.0,5.6447162,29.017844387761905,0.1589973989626655,5.028466806985162
Agartala,2026-09-26 18:00:00,3,28.112995312995317,0.0,5.418753799999999,28.28398725655889,0.20408569131743945,4.982417045648133
Agartala,2026-09-26 19:00:00,3,27.564886464886467,0.0,5.734253999999999,27.85097321472852,0.18693230063456223,5.8429658506431466
Agartala,2026-09-26 20:00:00,3,27.15740795740796,0.0,6.159977599999999,27.447947770250888,0.20219572989348653,6.305118711983937
