city,datetime,lead_days,temperature,rainfall,wind_speed
Agartala,2026-09-26 00:00:00,1,26.468415699999998,0.0,7.597818397818399
Agartala,2026-09-26 01:00:00,1,26.0354766,0.0,7.477049077049077
Agartala,2026-09-26 02:00:00,1,25.7642735,0.0,7.316429116429117
Agartala,2026-09-26 03:00:00,1,25.554806399999997,0.0,6.973265473265474
Agartala,2026-09-26 04:00:00,1,25.5091464,0.0,6.561343161343162
Agartala,2026-09-26 05:00:00,1,25.659344199999996,0.0,5.706529006529007
Agartala,2026-09-26 06:00:00,1,26.6296419,0.0,5.701327501327502
Agartala,2026-09-26 07:00:00,1,28.285654100000002,0.0,5.7958624958624965
Agartala,2026-09-26 08:00:00,1,29.676217200000004,0.0,5.428189228189228
Agartala,2026-09-26 09:00:00,1,30.8149372,0.0145586,5.307681207681208
Agartala,2026-09-26 10:00:00,1,31.8264754,0.0145586,4.967958167958169
Agartala,2026-09-26 11:00:00,1,32.5359458,0.0,4.4110436110436115
Agartala,2026-09-26 12:00:00,1,32.9610598,0.0,4.585483985483986
Agartala,2026-09-26 13:00:00,1,33.0253163,0.0,4.6444697444697445
Agartala,2026-09-26 14:00:00,1,32.7266442,0.0,5.062965562965563
Agartala,2026-09-26 15:00:00,1,32.305976599999994,0.0,5.176295276295277
Agartala,2026-09-26 16:00:00,1,31.4219244,0.0,4.722303922303923
Agartala,2026-09-26 17:00:00,1,30.0280976,0.0,5.135679535679536
Agartala,2026-09-26 18:00:00,1,29.0914421,0.0,6.236439836439837
Agartala,2026-09-26 19:00:00,1,28.6285135,0.0,7.2052553052553066
Agartala,2026-09-26 20:00:00,1,27.973423200000003,0.0,7.441959441959443
Agartala,2026-09-26 21:00:00,1,27.4351625,0.0,7.04877024877025
Agartala,2026-09-26 22:00:00,1,26.9807956,0.0,6.938607138607139
Agartala,2026-09-26 23:00:00,1,26.5515427,0.0,6.711194811194812
Agartala,2026-09-27 00:00:00,2,26.0705875,0.0,5.8806746
Agartala,2026-09-27 01:00:00,2,25.682910800000002,0.0,4.9773671
