city,datetime,temperature,rainfall,wind_speed
Delhi,2026-09-23T00:00,26.1,0.0,1.5
Delhi,2026-09-23T01:00,25.9,0.0,1.5
Delhi,2026-09-23T02:00,26.3,0.0,1.0
Delhi,2026-09-23T03:00,27.9,0.0,1.5
Delhi,2026-09-23T04:00,29.8,0.0,1.3
Delhi,2026-09-23T05:00,31.7,0.0,1.1
Delhi,2026-09-23T06:00,33.6,0.0,2.2
Delhi,2026-09-23T07:00,34.5,0.0,4.0
Delhi,2026-09-23T08:00,35.1,0.0,4.9
Delhi,2026-09-23T09:00,35.3,0.0,5.6
Delhi,2026-09-23T10:00,35.2,0.0,6.4
Delhi,2026-09-23T11:00,34.7,0.0,6.9
Delhi,2026-09-23T12:00,33.6,0.0,5.0
Delhi,2026-09-23T13:00,31.9,0.0,3.2
Delhi,2026-09-23T14:00,30.9,0.0,2.5
Delhi,2026-09-23T15:00,30.2,0.0,2.3
Delhi,2026-09-23T16:00,29.5,0.0,2.9
Delhi,2026-09-23T17:00,28.8,0.0,3.3
Delhi,2026-09-23T18:00,28.2,0.0,3.7
Delhi,2026-09-23T19:00,27.7,0.0,3.8
Delhi,2026-09-23T20:00,27.1,0.0,3.7
Delhi,2026-09-23T21:00,26.7,0.0,5.1
Delhi,2026-09-23T22:00,26.4,0.0,6.4
Delhi,2026-09-23T23:00,26.1,0.0,6.3
Delhi,2026-09-24T00:00,26.1,0.0,6.3
Delhi,2026-09-24T01:00,26.1,0.0,7.1
Delhi,2026-09-24T02:00,26.6,0.0,8.4
Delhi,2026-09-24T03:00,27.4,0.0,8.9
Delhi,2026-09-24T04:00,29.0,0.0,8.7
Delhi,2026-09-24T05:00,30.4,0.0,8.4
Delhi,2026-09-24T06:00,31.7,0.0,7.9
Delhi,2026-09-24T07:00,32.5,0.0,7.8
Delhi,2026-09-24T08:00,32.9,0.0,7.6
Delhi,2026-09-24T09:00,33.3,0.0,7.2
Delhi,2026-09-24T10:00,33.3,0.0,7.2
Delhi,2026-09-24T11:00,33.1,0.0,7.6
Delhi,2026-09-24T12:00,32.1,0.0,8.8
Delhi,2026-09-24T13:00,30.5,0.0,8.4
Delhi,2026-09-24T14:00,29.5,0.0,6.0
Delhi,2026-09-24T15:00,28.9,0.0,5.5
Delhi,2026-09-24T16:00,28.2,0.0,7.6
Delhi,2026-09-24T17:00,27.5,0.0,8.6
Delhi,2026-09-24T18:00,26.9,0.0,7.5
Delhi,2026-09-24T19:00,26.5,0.0,7.9
Delhi,2026-09-24T20:00,26.0,0.0,8.6
Delhi,2026-09-24T21:00,25.5,0.0,8.1
Delhi,2026-09-24T22:00,25.1,0.0,6.4
Delhi,2026-09-24T23:00,24.8,0.0,6.3
Delhi,2026-09-25T00:00,24.6,0.0,6.0
Delhi,2026-09-25T01:00,24.4,0.0,5.2
Delhi,2026-09-25T02:00,24.8,0.0,5.5
Delhi,2026-09-25T03:00,25.9,0.0,8.2
Delhi,2026-09-25T04:00,27.2,0.0,10.8
Delhi,2026-09-25T05:00,28.4,0.0,10.1
Delhi,2026-09-25T06:00,29.5,0.0,7.9
Delhi,2026-09-25T07:00,30.5,0.0,6.1
Delhi,2026-09-25T08:00,31.1,0.0,5.8
Delhi,2026-09-25T09:00,31.5,0.0,4.8
Delhi,2026-09-25T10:00,31.6,0.0,4.7
Delhi,2026-09-25T11:00,31.3,0.0,4.6
Delhi,2026-09-25T12:00,30.8,0.0,5.2
Delhi,2026-09-25T13:00,29.7,0.0,5.7
Delhi,2026-09-25T14:00,28.1,0.0,13.0
Delhi,2026-09-25T15:00,26.6,0.0,10.0
Delhi,2026-09-25T16:00,26.0,0.0,7.3
Delhi,2026-09-25T17:00,25.5,0.0,5.9
Delhi,2026-09-25T18:00,25.0,0.0,5.8
Delhi,2026-09-25T19:00,24.5,0.0,6.6
Delhi,2026-09-25T20:00,24.1,0.0,6.1
Delhi,2026-09-25T21:00,23.8,0.0,3.3
Delhi,2026-09-25T22:00,23.6,0.0,4.0
Delhi,2026-09-25T23:00,23.4,0.0,3.0
Delhi,2026-09-26T00:00,23.2,0.0,1.8
Delhi,2026-09-26T01:00,23.2,0.0,1.1
Delhi,2026-09-26T02:00,23.4,0.0,2.6
Delhi,2026-09-26T03:00,23.9,0.0,3.1
Delhi,2026-09-26T04:00,24.6,0.0,6.0
Delhi,2026-09-26T05:00,25.4,0.0,6.8
Delhi,2026-09-26T06:00,26.4,0.0,7.4
Delhi,2026-09-26T07:00,28.0,0.0,8.4
Delhi,2026-09-26T08:00,29.3,0.0,8.0
Delhi,2026-09-26T09:00,30.3,0.0,8.0
Delhi,2026-09-26T10:00,30.8,0.0,8.3
Delhi,2026-09-26T11:00,30.8,0.0,5.4
Delhi,2026-09-26T12:00,30.1,0.0,5.6
Delhi,2026-09-26T13:00,28.1,0.0,8.1
Delhi,2026-09-26T14:00,26.6,0.0,8.3
Delhi,2026-09-26T15:00,26.0,0.0,7.1
Delhi,2026-09-26T16:00,25.6,0.0,6.1
Delhi,2026-09-26T17:00,25.2,0.0,7.1
Delhi,2026-09-26T18:00,24.5,0.0,6.9
Delhi,2026-09-26T19:00,24.1,0.0,6.9
Delhi,2026-09-26T20:00,23.7,0.0,6.9
Delhi,2026-09-26T21:00,23.4,0.0,6.6
Delhi,2026-09-26T22:00,23.0,0.0,6.1
Delhi,2026-09-26T23:00,22.8,0.0,5.1
Delhi,2026-09-27T00:00,22.7,0.0,4.7
Delhi,2026-09-27T01:00,22.8,0.0,4.9
Delhi,2026-09-27T02:00,23.0,0.0,5.4
Delhi,2026-09-27T03:00,23.8,0.0,5.9
Delhi,2026-09-27T04:00,25.3,0.0,6.2
Delhi,2026-09-27T05:00,27.4,0.0,6.6
Delhi,2026-09-27T06:00,29.1,0.0,6.6
Delhi,2026-09-27T07:00,30.3,0.0,6.6
Delhi,2026-09-27T08:00,31.2,0.0,6.5
Delhi,2026-09-27T09:00,31.6,0.0,7.0
Delhi,2026-09-27T10:00,31.4,0.0,8.4
Delhi,2026-09-27T11:00,30.7,0.0,10.1
Delhi,2026-09-27T12:00,29.8,0.0,11.2
Delhi,2026-09-27T13:00,28.5,0.0,11.2
Delhi,2026-09-27T14:00,27.0,0.0,10.5
Delhi,2026-09-27T15:00,25.7,0.0,9.6
Delhi,2026-09-27T16:00,24.8,0.0,8.8
Delhi,2026-09-27T17:00,24.0,0.0,8.0
Delhi,2026-09-27T18:00,23.5,0.0,7.3
Delhi,2026-09-27T19:00,23.1,0.0,6.3
Delhi,2026-09-27T20:00,22.8,0.0,5.5
Delhi,2026-09-27T21:00,22.6,0.0,4.8
Delhi,2026-09-27T22:00,22.3,0.0,5.1
Delhi,2026-09-27T23:00,22.0,0.0,5.5
Delhi,2026-09-28T00:00,22.0,0.0,5.9
Delhi,2026-09-28T01:00,22.3,0.0,6.2
Delhi,2026-09-28T02:00,22.9,0.0,6.6
Delhi,2026-09-28T03:00,23.8,0.0,6.6
Delhi,2026-09-28T04:00,25.3,0.0,6.8
Delhi,2026-09-28T05:00,27.2,0.0,6.8
Delhi,2026-09-28T06:00,28.8,0.0,6.3
Delhi,2026-09-28T07:00,29.9,0.0,4.3
Delhi,2026-09-28T08:00,30.8,0.0,4.3
Delhi,2026-09-28T09:00,31.3,0.0,5.7
Delhi,2026-09-28T10:00,31.3,0.0,5.7
Delhi,2026-09-28T11:00,30.9,0.0,5.3
Delhi,2026-09-28T12:00,30.3,0.0,4.8
Delhi,2026-09-28T13:00,29.4,0.0,4.1
Delhi,2026-09-28T14:00,28.3,0.0,3.5
Delhi,2026-09-28T15:00,27.4,0.0,2.9
Delhi,2026-09-28T16:00,26.7,0.0,2.6
Delhi,2026-09-28T17:00,26.1,0.0,2.6
Delhi,2026-09-28T18:00,25.6,0.0,2.8
Delhi,2026-09-28T19:00,25.2,0.0,2.9
Delhi,2026-09-28T20:00,24.9,0.0,3.2
Delhi,2026-09-28T21:00,24.6,0.0,3.0
Delhi,2026-09-28T22:00,24.4,0.0,2.5
Delhi,2026-09-28T23:00,24.2,0.0,2.5
Mumbai,2026-09-23T00:00,27.0,0.1,2.1
Mumbai,2026-09-23T01:00,27.0,0.0,1.6
Mumbai,2026-09-23T02:00,27.2,0.0,1.8
Mumbai,2026-09-23T03:00,27.8,0.0,2.9
Mumbai,2026-09-23T04:00,28.4,0.3,3.7
Mumbai,2026-09-23T05:00,28.8,0.6,4.8
Mumbai,2026-09-23T06:00,30.1,0.0,6.0
Mumbai,2026-09-23T07:00,30.4,0.3,7.9
Mumbai,2026-09-23T08:00,30.3,0.9,9.4
Mumbai,2026-09-23T09:00,31.1,0.0,10.4
Mumbai,2026-09-23T10:00,30.8,0.0,12.8
Mumbai,2026-09-23T11:00,30.2,0.0,13.7
Mumbai,2026-09-23T12:00,30.1,0.0,10.6
Mumbai,2026-09-23T13:00,29.5,0.0,10.1
Mumbai,2026-09-23T14:00,29.0,0.0,7.9
Mumbai,2026-09-23T15:00,28.8,0.0,6.3
Mumbai,2026-09-23T16:00,28.5,0.1,4.9
Mumbai,2026-09-23T17:00,28.1,0.9,4.7
Mumbai,2026-09-23T18:00,27.8,1.3,3.8
Mumbai,2026-09-23T19:00,27.6,1.0,4.2
Mumbai,2026-09-23T20:00,27.3,1.1,3.6
Mumbai,2026-09-23T21:00,27.2,0.5,3.3
Mumbai,2026-09-23T22:00,27.1,1.3,3.7
Mumbai,2026-09-23T23:00,27.0,1.3,4.1
Mumbai,2026-09-24T00:00,27.2,0.0,2.6
Mumbai,2026-09-24T01:00,27.3,0.0,0.7
Mumbai,2026-09-24T02:00,27.7,0.0,1.9
Mumbai,2026-09-24T03:00,28.5,0.0,4.2
Mumbai,2026-09-24T04:00,29.4,0.0,8.3
Mumbai,2026-09-24T05:00,30.2,0.0,9.5
Mumbai,2026-09-24T06:00,31.1,0.0,10.5
Mumbai,2026-09-24T07:00,31.5,0.0,12.3
Mumbai,2026-09-24T08:00,31.8,0.0,12.9
Mumbai,2026-09-24T09:00,31.5,0.0,14.6
Mumbai,2026-09-24T10:00,31.0,0.0,15.8
Mumbai,2026-09-24T11:00,30.4,0.0,15.0
Mumbai,2026-09-24T12:00,29.6,0.0,12.9
Mumbai,2026-09-24T13:00,28.7,0.0,11.9
Mumbai,2026-09-24T14:00,28.4,0.0,10.0
Mumbai,2026-09-24T15:00,28.3,0.0,8.6
Mumbai,2026-09-24T16:00,28.2,0.0,8.6
Mumbai,2026-09-24T17:00,28.0,0.0,6.5
Mumbai,2026-09-24T18:00,27.9,0.0,5.0
Mumbai,2026-09-24T19:00,27.8,0.0,4.7
Mumbai,2026-09-24T20:00,27.7,0.0,5.4
Mumbai,2026-09-24T21:00,27.6,0.0,5.9
